,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
1158,Indonesia,2009,68.49,178.5,17.1,17.4,21.92,23.12,2.62,5.41,6.11,240981299,2239.1,2110.0
1159,Indonesia,2008,68.23,180.0,17.5,17.4,21.83,23.02,2.55,4.63,7.21,237936543,2144.39,1900.0
1160,Indonesia,2007,68.19,181.8,18.3,19.4,21.74,22.91,2.82,5.44,8.06,234858289,1840.33,1570.0
1161,Indonesia,2006,67.91,184.1,18.6,22.8,21.65,22.81,2.62,4.51,7.55,231797427,1572.8,1350.0
1162,Indonesia,2005,67.65,185.4,19.2,23.3,21.56,22.71,2.53,4.21,7.94,228805144,1249.4,1200.0
1163,Indonesia,2004,65.75,210.6,19.8,29.3,21.47,22.6,2.12,4.2,7.3,225938595,1136.76,1060.0
1164,Indonesia,2003,67.41,188.6,20.4,24.2,21.39,22.5,2.25,4.5,6.66,223080121,1052.41,880.0
1165,Indonesia,2002,67.13,189.7,21.0,25.6,21.3,22.4,1.98,3.98,6.6,220115092,888.9,780.0
1166,Indonesia,2001,66.76,190.8,21.7,27.6,21.22,22.3,2.12,3.96,6.08,217112437,739.0,700.0
1167,Indonesia,2000,66.43,192.4,22.1,29.9,21.13,22.19,1.85,3.59,6.08,214072421,770.87,570.0
1360,Lao People's Democratic Republic,2015,72.95,193.5,29.6,38.0,22.67,23.09,4.72,14.2,7.6,10405832,6838.94,6480.0
1361,Lao People's Democratic Republic,2014,72.87,197.3,30.1,39.9,22.54,22.97,4.8,14.48,6.72,10282115,6533.67,6240.0
1362,Lao People's Democratic Republic,2013,72.71,202.5,30.7,41.2,22.42,22.85,4.92,15.7,7.35,10157051,6171.3,5940.0
1363,Lao People's Democratic Republic,2012,72.51,206.7,31.4,42.9,22.29,22.73,5.05,13.74,6.72,10030882,6049.47,5710.0
1364,Lao People's Democratic Republic,2011,72.22,211.6,32.1,45.8,22.17,22.6,5.04,17.09,6.09,9903737,5859.38,5460.0
1365,Lao People's Democratic Republic,2010,72.09,218.6,32.8,47.0,22.05,22.48,4.92,15.93,5.21,9775755,5509.57,5260.0
1366,Lao People's Democratic Republic,2009,71.87,225.4,33.5,48.5,21.93,22.36,4.76,14.34,5.47,9648061,5002.15,4860.0
