,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
9,China,2006,74.5,122.6,12.5,9.1,23.0,22.85,3.95,7.56,4.43,42772910,2099.22,Upper-middle income
8,China,2007,74.76,118.3,11.2,8.4,23.11,22.93,3.67,7.9,4.35,43306582,2693.96,Upper-middle income
10,China,2005,74.11,128.0,13.9,9.8,22.9,22.78,4.18,7.49,4.52,42220940,1753.41,Upper-middle income
6,China,2009,75.34,109.4,9.0,7.7,23.33,23.09,4.35,8.38,4.72,44313917,3832.23,Upper-middle income
5,China,2010,75.6,105.9,8.2,7.1,23.45,23.16,4.23,8.75,4.53,44816108,4550.47,Upper-middle income
4,China,2011,75.9,102.9,7.6,6.6,23.57,23.24,4.34,8.6,4.55,45308899,5614.39,Upper-middle income
3,China,2012,76.19,100.2,6.9,6.3,23.7,23.31,4.57,9.04,4.58,45782417,6300.58,Upper-middle income
2,China,2013,76.45,97.18,6.4,6.0,23.84,23.39,4.71,9.42,4.6,46237930,7020.39,Upper-middle income
1,China,2014,76.72,94.86,6.0,5.5,23.98,23.46,4.78,9.66,4.63,46677947,7636.07,Upper-middle income
7,China,2008,74.87,115.9,10.1,7.9,23.22,23.01,3.9,7.71,4.59,43815313,3468.33,Upper-middle income
488,Cyprus,2007,78.81,65.77,2.3,1.9,27.46,26.21,5.36,6.15,3.95,10298828,31244.93,High income
483,Cyprus,2012,80.11,53.92,2.0,1.4,27.65,26.24,6.54,7.13,12.1,10510785,28991.93,High income
484,Cyprus,2011,80.0,55.44,1.8,1.5,27.62,26.24,6.43,7.25,7.94,10496088,32485.8,High income
485,Cyprus,2010,79.67,58.0,2.0,1.8,27.59,26.24,6.5,7.13,6.36,10474410,31105.03,High income
487,Cyprus,2008,78.98,63.5,2.1,1.8,27.51,26.23,6.01,6.52,3.76,10384603,35397.36,High income
489,Cyprus,2006,78.37,67.78,2.4,2.3,27.4,26.19,5.46,6.05,4.59,10238905,26729.32,High income
486,Cyprus,2009,79.4,60.74,2.1,1.7,27.56,26.24,6.47,6.53,5.59,10443936,32236.54,High income
491,Cyprus,2004,77.94,70.59,2.4,2.7,27.26,26.14,5.41,5.79,4.77,10197101,23792.62,High income
492,Cyprus,2003,77.79,71.47,2.5,2.8,27.18,26.11,5.64,6.11,4.15,10193998,20252.24,High income
493,Cyprus,2002,77.49,71.73,2.7,3.0,27.1,26.07,5.62,6.74,3.34,10196916,16093.21,High income
494,Cyprus,2001,76.99,70.66,3.0,3.3,27.01,26.03,5.34,6.33,4.04,10216605,14821.45,High income
495,Cyprus,2000,76.57,68.34,3.1,3.5,26.92,25.98,5.31,6.33,4.77,10255063,14388.35,High income
482,Cyprus,2013,80.4,53.18,1.6,1.3,27.67,26.24,6.93,7.37,16.13,10514272,27797.45,High income
490,Cyprus,2005,78.1,69.15,2.4,2.5,27.34,26.17,5.44,5.74,5.48,10211216,24959.26,High income
480,Cyprus,2015,80.97,53.65,1.7,1.2,27.71,26.23,6.79,7.07,15.03,10546059,23487.22,High income
481,Cyprus,2014,80.77,53.33,1.8,1.4,27.69,26.23,6.93,5.98,16.28,10525347,27244.34,High income
497,Georgia,2014,73.1,157.1,8.8,4.3,27.42,27.63,7.9,7.78,17.44,3719414,4830.33,Lower-middel income
509,Georgia,2002,70.02,170.8,19.8,11.2,25.99,26.28,7.81,7.02,12.59,3978515,853.53,Lower-middel income
