,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
386,Belize,2013,73.67,166.8,10.1,6.6,27.36,30.39,4.44,12.27,8.35,344688,5865.47,5580.0
385,Belize,2014,73.31,166.1,9.9,6.2,27.45,30.51,4.88,12.23,8.24,352335,6031.55,5670.0
225,Bolivia (Plurinational State of),2014,67.16,142.4,20.3,18.5,25.21,27.66,5.9,8.54,2.02,10916987,3022.46,2800.0
239,Bolivia (Plurinational State of),2000,62.35,185.6,29.8,48.7,23.77,25.83,4.4,8.3,2.44,8592656,977.33,960.0
238,Bolivia (Plurinational State of),2001,62.84,179.4,28.9,45.6,23.86,25.97,4.83,8.18,2.63,8746084,930.88,930.0
237,Bolivia (Plurinational State of),2002,63.31,176.8,28.4,42.5,23.96,26.1,4.9,7.82,2.61,8900583,888.2,900.0
236,Bolivia (Plurinational State of),2003,63.64,172.1,27.7,39.4,24.05,26.22,5.2,8.61,2.66,9057378,892.36,890.0
235,Bolivia (Plurinational State of),2004,64.0,167.3,27.3,36.3,24.15,26.35,4.86,7.84,2.62,9216279,951.95,940.0
224,Bolivia (Plurinational State of),2015,67.32,139.8,19.9,17.4,25.31,27.8,6.55,9.66,3.11,11090085,2975.65,2920.0
234,Bolivia (Plurinational State of),2005,64.39,163.9,26.8,33.4,24.25,26.48,5.07,8.3,2.6,9377388,1018.31,1000.0
232,Bolivia (Plurinational State of),2007,65.03,158.9,25.2,28.3,24.45,26.73,4.7,8.5,2.62,9711152,1351.04,1210.0
230,Bolivia (Plurinational State of),2009,65.88,154.3,23.7,24.5,24.66,26.99,5.17,8.82,2.97,10051317,1725.15,1600.0
229,Bolivia (Plurinational State of),2010,66.16,152.3,23.0,23.1,24.77,27.12,5.2,9.71,2.61,10223270,1922.06,1760.0
228,Bolivia (Plurinational State of),2011,66.53,150.2,22.2,21.5,24.88,27.26,5.17,8.54,2.26,10396246,2304.98,1970.0
227,Bolivia (Plurinational State of),2012,66.7,147.4,21.5,20.4,24.99,27.39,5.25,8.31,2.07,10569697,2562.47,2220.0
226,Bolivia (Plurinational State of),2013,67.02,145.1,21.1,19.2,25.1,27.53,5.57,8.49,2.44,10743349,2853.8,2550.0
