"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.87","5.66","5.33","5.38","6.28","7.44","7.93","7.2","6.69","6.34","6.44","6.7","7.04","5.78","6.28","6.12","6.05","5.27","5.13","5.67","7.69","7.63","","",
"American Samoa","ASM","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.86253166","12.11715889","10.65088367","12.44891071","12.12656689","11.53017235","8.368083","8.45184612","8.08106136","6.33139181","13.89639091","12.98978615","14.63236332","13.30073166","15.10593987","11.81753826","11.60688305","11.6073885","13.07453442","11.29999447","13.78379345","15.53669071","","",
"Australia","AUS","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.60132885","14.70855331","15.51416302","15.48101234","15.94705105","15.90276814","15.93996811","16.49022293","15.61295509","15.88237","16.11460304","16.32258987","16.18693733","15.40296459","17.63870811","18.30729294","18.483284","18.54355621","18.49000168","17.10577965","17.05628586","19.3241291","","",
"Austria","AUT","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.38","13.29","13.51","13.62","13.03","13.67","13.78","14.09","14.39","13.76","14","14.32","14.51","14.37","14.34","14.69","14.96","15.55","15.81","16.13","15.39","16.89","","",
"Azerbaijan","AZE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.75","4.8","3.19","3.57","3.56","3.96","3.43","3.49","2.75","3.28","3.17","2.82","3.05","2.82","3.11","3.37","3.29","2.82","2.68","3.29","5.77","4.59","","",
"Burundi","BDI","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.94454002","6.66263866","6.37957811","3.71581554","5.80384254","6.22310448","6.48141956","6.3231554","3.78774762","5.4775238","4.86066389","8.22791386","7.11028194","4.43170166","9.79248333","10.44351768","9.90449238","8.35758591","7.90786219","7.90786219","7.33283997","7.33283997","","",
"Belgium","BEL","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.06895447","12.43329906","12.28861809","13.30607033","14.18479538","13.30355549","13.95677853","13.95637608","14.31451035","14.40197372","14.43804264","14.275527","14.21773148","14.3216114","14.52489758","15.35273266","15.60059643","15.92467117","15.91871738","15.64666748","14.80582428","15.46376991","","",
"Benin","BEN","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.29948664","7.99414682","6.34654379","7.73368263","8.69476223","7.55740261","8.31231785","6.1193018","5.10336447","5.1059413","5.34460402","4.4236145","5.24633551","5.1338048","4.04459238","3.25478005","3.05096745","2.56150651","2.71143031","2.13318133","1.44714797","1.60077083","","",
"Burkina Faso","BFA","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.84836864","4.94217682","5.43493128","5.56972933","8.39099884","6.04864025","6.54068851","6.27068281","7.32152605","7.62939405","6.03235245","6.58739376","4.69605875","6.38293219","7.77367115","7.15264177","11.03399467","9.99147034","8.78477097","9.57691097","11.64695168","9.83841515","","",
